year,boys,girls
1629,5218,4683
1630,4858,4457
1631,4422,4102
1632,4994,4590
1633,5158,4839
1634,5035,4820
1635,5106,4928
1636,4917,4605
1637,4703,4457
1638,5359,4952
1639,5366,4784
1640,5518,5332
1641,5470,5200
1642,5460,4910
1643,4793,4617
1644,4107,3997
1645,4047,3919
1646,3768,3395
1647,3796,3536
1648,3363,3181
1649,3079,2746
1650,2890,2722
1651,3231,2840
1652,3220,2908
1653,3196,2959
1654,3441,3179
1655,3655,3349
1656,3668,3382
1657,3396,3289
1658,3157,3013
1659,3209,2781
1660,3724,3247
1661,4748,4107
1662,5216,4803
1663,5411,4881
1664,6041,5681
1665,5114,4858
1666,4678,4319
1667,5616,5322
1668,6073,5560
1669,6506,5829
1670,6278,5719
1671,6449,6061
1672,6443,6120
1673,6073,5822
1674,6113,5738
1675,6058,5717
1676,6552,5847
1677,6423,6203
1678,6568,6033
1679,6247,6041
1680,6548,6299
1681,6822,6533
1682,6909,6744
1683,7577,7158
1684,7575,7127
1685,7484,7246
1686,7575,7119
1687,7737,7214
1688,7487,7101
1689,7604,7167
1690,7909,7302
1691,7662,7392
1692,7602,7316
1693,7676,7483
1694,6985,6647
1695,7263,6713
1696,7632,7229
1697,8062,7767
1698,8426,7626
1699,7911,7452
1700,7578,7061
1701,8102,7514
1702,8031,7656
1703,7765,7683
1704,6113,5738
1705,8366,7779
1706,7952,7417
1707,8379,7687
1708,8239,7623
1709,7840,7380
1710,7640,7288