Year,Women 65-74: obs,Women 65-74: exp,Women 75+: obs,Women 75+: exp,Women65plusObs,CumWomen65plusObs,Women65plusExp,Men 65-74: obs,Men 65-74: exp,Men 75+: obs,Men 75+: exp,Men65plusObs,CumMen65plusObs,Men65plusExp,Total65plusObs,Total65plusExp,CumTotalObs,CumTotalExp,CumWomen65plusObsMinusExpected,CumMen65plusObsMinusExpected,CumWomen65plusExp,CumMen65plusExp
1977,0,0.69,2,1.35,2,2,2.04,0,1.85,1,4.31,1,1,6.16,3,8.2,3,8.2,-0.04,-5.16,2.04,6.16
1978,3,0.92,6,2.98,9,11,3.9,5,1.85,5,3.45,10,11,5.3,19,9.2,22,17.4,5.06,-0.46,5.94,11.46
1979,4,0.92,10,3.52,14,25,4.44,1,2.55,3,0.86,4,15,3.41,18,7.85,40,25.25,14.62,0.13,10.38,14.87
1980,0,0.23,7,3.79,7,32,4.02,4,1.39,3,0.57,7,22,1.96,14,5.98,54,31.23,17.6,5.17,14.4,16.83
1981,2,0.69,6,3.24,8,40,3.93,1,2.09,4,1.15,5,27,3.24,13,7.17,67,38.4,21.67,6.93,18.33,20.07
1982,2,0.46,3,2.44,5,45,2.9,2,2.09,5,1.73,7,34,3.82,12,6.72,79,45.12,23.77,10.11,21.23,23.89
1983,0,1.35,2,2.48,2,47,3.83,1,0.39,3,3.11,4,38,3.5,6,7.33,85,52.45,21.94,10.61,25.06,27.39
1984,4,0.99,9,3.48,13,60,4.47,2,0.66,5,1.64,7,45,2.3,20,6.77,105,59.22,30.47,15.31,29.53,29.69
1985,6,0.99,7,1.93,13,73,2.92,2,0.66,5,2.05,7,52,2.71,20,5.63,125,64.85,40.55,19.6,32.45,32.4
1986,1,0.99,6,1.93,7,80,2.92,1,0.83,2,2.46,3,55,3.29,10,6.21,135,71.06,44.63,19.31,35.37,35.69
1987,3,0.49,5,1.35,8,88,1.84,1,0.83,3,3.28,4,59,4.11,12,5.95,147,77.01,50.79,19.2,37.21,39.8
1988,1,0.34,10,2.18,11,99,2.52,1,1.17,3,1.26,4,63,2.43,15,4.95,162,81.96,59.27,20.77,39.73,42.23
1989,1,0.47,7,1.14,8,107,1.61,4,1.42,3,1.41,7,70,2.83,15,4.44,177,86.4,65.66,24.94,41.34,45.06
1990,1,0.29,2,1.34,3,110,1.63,0,0.58,0,0.88,0,70,1.46,3,3.09,180,89.49,67.03,23.48,42.97,46.52
1991,0,0.4,4,0.29,4,114,0.69,1,0.42,0,0.68,1,71,1.1,5,1.79,185,91.28,70.34,23.38,43.66,47.62
1992,1,0.74,0,0.84,1,115,1.58,1,0.75,0,0.82,1,72,1.57,2,3.15,187,94.43,69.76,22.81,45.24,49.19
1993,4,0.45,9,0.54,13,128,0.99,2,0.49,3,0.48,5,77,0.97,18,1.96,205,96.39,81.77,26.84,46.23,50.16
1994,2,0.47,6,0.83,8,136,1.3,0,0.86,1,0.69,1,78,1.55,9,2.85,214,99.24,88.47,26.29,47.53,51.71
1995,8,0.34,11,0.99,19,155,1.33,3,0.31,8,0.92,11,89,1.23,30,2.56,244,101.8,106.14,36.06,48.86,52.94
1996,3,0.71,20,0.58,23,178,1.29,2,0.45,8,0.66,10,99,1.11,33,2.4,277,104.2,127.85,44.95,50.15,54.05
1997,9,0.24,22,0.34,31,209,0.58,1,0.22,2,0.48,3,102,0.7,34,1.28,311,105.48,158.27,47.25,50.73,54.75
1998,6,0.24,10,0.3,16,225,0.54,0,0,2,0.7,2,104,0.7,18,1.24,329,106.72,173.73,48.55,51.27,55.45